quant,ctx,status,model_mib,kv_mib,rs_mib,compute_mib,prompt_tps,decode_tps,reason
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_M.gguf,65536,loaded,15387.77,4096.00,598.50,61.88,102.59,24.32,completion_ok
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_M.gguf,98304,fail,15387.77,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_M.gguf,131072,fail,15387.77,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_M.gguf,196608,fail,15387.77,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_M.gguf,262144,fail,15387.77,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_S.gguf,65536,fail,,,,,,,startup_timeout
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_S.gguf,98304,fail,14471.21,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_S.gguf,131072,fail,14471.21,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_S.gguf,196608,fail,14471.21,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_S.gguf,262144,fail,14471.21,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ4_XS.gguf,65536,fail,,,,,,,startup_timeout
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ4_XS.gguf,98304,fail,14029.34,6144.00,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ4_XS.gguf,131072,fail,14029.34,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ4_XS.gguf,196608,fail,14029.34,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ4_XS.gguf,262144,fail,14029.34,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ3_M.gguf,65536,loaded,11762.52,4096.00,598.50,61.88,64.50,24.00,completion_ok
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ3_M.gguf,98304,loaded,11762.52,6144.00,598.50,61.88,71.74,24.87,completion_ok
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ3_M.gguf,131072,fail,11762.52,8192.00,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ3_M.gguf,196608,fail,11762.52,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ3_M.gguf,262144,fail,11762.52,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ2_M.gguf,65536,loaded,9469.08,4096.00,598.50,61.88,71.78,25.40,completion_ok
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ2_M.gguf,98304,loaded,9469.08,6144.00,598.50,61.88,79.44,25.48,completion_ok
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ2_M.gguf,131072,loaded,9469.08,8192.00,598.50,65.94,79.41,25.36,completion_ok
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ2_M.gguf,196608,fail,9469.08,,,,,,oom
Qwen3.6-27B-NEO-CODE-HERE-2T-OT-IQ2_M.gguf,262144,fail,9469.08,,,,,,oom
