family,repo,hf_file,ctx,batch,ubatch,spec_n,status,model_mib,kv_mib,rs_mib,compute_mib,prompt_tps,decode_tps,reason
qwen-mtp,unsloth/Qwen3.6-35B-A3B-MTP-GGUF,Qwen3.6-35B-A3B-UD-IQ4_XS.gguf,65536,64,64,2,success,,,,,49.63,105.38,
qwen-27b-mtp,unsloth/Qwen3.6-27B-MTP-GGUF,Qwen3.6-27B-Q3_K_M.gguf,65536,64,64,2,success,,,,,30.15,40.97,
qwen-heretic-mtp,llmfan46/Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-GGUF,Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-Q3_K_M.gguf,65536,64,64,2,success,,,,,97.61,38.89,
qwen-opus-mtp,noctrex/Qwopus3.6-27B-v1-preview-MTP-GGUF,Qwopus3.6-27B-v1-preview-MTP-IQ3_M.gguf,65536,64,64,2,success,,,,,54.28,41.64,
qwen-mtp,unsloth/Qwen3.6-35B-A3B-MTP-GGUF,Qwen3.6-35B-A3B-UD-IQ4_XS.gguf,65536,64,64,4,success,,,,,50.92,92.65,
qwen-27b-mtp,unsloth/Qwen3.6-27B-MTP-GGUF,Qwen3.6-27B-Q3_K_M.gguf,65536,64,64,4,success,,,,,39.11,37.99,
qwen-heretic-mtp,llmfan46/Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-GGUF,Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-Q3_K_M.gguf,65536,64,64,4,oom,,,,,,,OOM detected
qwen-opus-mtp,noctrex/Qwopus3.6-27B-v1-preview-MTP-GGUF,Qwopus3.6-27B-v1-preview-MTP-IQ3_M.gguf,65536,64,64,4,oom,,,,,,,OOM detected
qwen-mtp,unsloth/Qwen3.6-35B-A3B-MTP-GGUF,Qwen3.6-35B-A3B-UD-IQ4_XS.gguf,65536,64,64,8,oom,,,,,,,OOM detected
qwen-27b-mtp,unsloth/Qwen3.6-27B-MTP-GGUF,Qwen3.6-27B-Q3_K_M.gguf,65536,64,64,8,oom,,,,,,,OOM detected
qwen-heretic-mtp,llmfan46/Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-GGUF,Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-Q3_K_M.gguf,65536,64,64,8,oom,,,,,,,OOM detected
qwen-opus-mtp,noctrex/Qwopus3.6-27B-v1-preview-MTP-GGUF,Qwopus3.6-27B-v1-preview-MTP-IQ3_M.gguf,65536,64,64,8,oom,,,,,,,OOM detected
qwen-mtp,unsloth/Qwen3.6-35B-A3B-MTP-GGUF,Qwen3.6-35B-A3B-UD-IQ4_XS.gguf,65536,64,64,12,oom,,,,,,,OOM detected
qwen-27b-mtp,unsloth/Qwen3.6-27B-MTP-GGUF,Qwen3.6-27B-Q3_K_M.gguf,65536,64,64,12,oom,,,,,,,OOM detected
qwen-heretic-mtp,llmfan46/Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-GGUF,Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-Q3_K_M.gguf,65536,64,64,12,oom,,,,,,,OOM detected
qwen-opus-mtp,noctrex/Qwopus3.6-27B-v1-preview-MTP-GGUF,Qwopus3.6-27B-v1-preview-MTP-IQ3_M.gguf,65536,64,64,12,oom,,,,,,,OOM detected
qwen-mtp,unsloth/Qwen3.6-35B-A3B-MTP-GGUF,Qwen3.6-35B-A3B-UD-IQ4_XS.gguf,65536,64,64,16,oom,,,,,,,OOM detected
qwen-27b-mtp,unsloth/Qwen3.6-27B-MTP-GGUF,Qwen3.6-27B-Q3_K_M.gguf,65536,64,64,16,oom,,,,,,,OOM detected
qwen-heretic-mtp,llmfan46/Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-GGUF,Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-Q3_K_M.gguf,65536,64,64,16,oom,,,,,,,OOM detected
qwen-opus-mtp,noctrex/Qwopus3.6-27B-v1-preview-MTP-GGUF,Qwopus3.6-27B-v1-preview-MTP-IQ3_M.gguf,65536,64,64,16,oom,,,,,,,OOM detected
qwen-mtp,unsloth/Qwen3.6-35B-A3B-MTP-GGUF,Qwen3.6-35B-A3B-UD-IQ4_XS.gguf,65536,64,64,24,oom,,,,,,,OOM detected
qwen-27b-mtp,unsloth/Qwen3.6-27B-MTP-GGUF,Qwen3.6-27B-Q3_K_M.gguf,65536,64,64,24,oom,,,,,,,OOM detected
qwen-heretic-mtp,llmfan46/Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-GGUF,Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-Q3_K_M.gguf,65536,64,64,24,oom,,,,,,,OOM detected
qwen-opus-mtp,noctrex/Qwopus3.6-27B-v1-preview-MTP-GGUF,Qwopus3.6-27B-v1-preview-MTP-IQ3_M.gguf,65536,64,64,24,oom,,,,,,,OOM detected
qwen-mtp,unsloth/Qwen3.6-35B-A3B-MTP-GGUF,Qwen3.6-35B-A3B-UD-IQ4_XS.gguf,65536,64,64,32,oom,,,,,,,OOM detected
qwen-27b-mtp,unsloth/Qwen3.6-27B-MTP-GGUF,Qwen3.6-27B-Q3_K_M.gguf,65536,64,64,32,oom,,,,,,,OOM detected
qwen-heretic-mtp,llmfan46/Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-GGUF,Qwen3.6-27B-uncensored-heretic-v2-Native-MTP-Preserved-Q3_K_M.gguf,65536,64,64,32,oom,,,,,,,OOM detected
qwen-opus-mtp,noctrex/Qwopus3.6-27B-v1-preview-MTP-GGUF,Qwopus3.6-27B-v1-preview-MTP-IQ3_M.gguf,65536,64,64,32,oom,,,,,,,OOM detected
